shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
9,960391345;0;1;1;63,71357346
9,976789939;0;1;1;63,71357346
9,952656705;0;1;1;63,71357346
9,967440373;0;1;1;63,71357346
9,977579919;0;1;1;63,71357346
9,964984547;0;1;1;63,71357346
9,965836825;0;1;1;63,71357346
9,977579923;0;4;1;63,71357346
9,965281553;0;1;1;63,71357346
9,965896325;0;1;1;63,71357346
9,947815786;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,975766967;0;1;1;63,71357346
9,977579868;0;3;1;63,71357346
9,958840058;0;1;1;63,71357346
9,96548814;0;1;1;63,71357346
9,961569648;0;1;1;63,71357346
9,966464133;0;1;1;63,71357346
9,964506828;0;1;1;63,71357346
9,964291715;0;1;1;63,71357346
9,964512655;0;1;1;63,71357346
