trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
1126;72,34;50;6;1,183079293;0,784879507;0,384524006
1129;72,34;50;6;1,211654769;0,752753067;0,401108576
1138;72,34;50;6;1,18465523;0,785112098;0,384696098
1149;72,34;50;6;1,261973794;0,824239043;0,400250728
1372;72,34;50;6;1,093893128;0,665620287;0,382936617
2440;72,34;50;6;1,354544732;0,656111106;0,393126582
2637;72,34;50;6;1,217460656;0,5;0,388990384
2660;72,34;36;6;1,318959994;0,5;0,331377448
2661;72,34;36;6;1,317089517;0,5;0,330619424
3193;72,34;50;6;1,198890556;0,677914899;0,411514532
3563;72,34;50;6;1,310440231;0,665172455;0,3931683
3632;72,34;50;6;1,323866562;0,701647133;0,384833127
3788;72,34;50;6;1,17897547;0,668554198;0,405709587
3896;72,34;50;6;1,285341808;0,5;0,387110523
3907;72,34;50;6;1,315852093;0,693415324;0,384409438
3940;72,34;50;6;1,121765044;0,5;0,406894531
3959;72,34;50;6;1,198064625;0,716422461;0,366361056
4287;72,34;50;6;1,171277054;0,690444499;0,409122537
4964;72,34;45;6;0,881993835;0,5;0,438574316
4965;72,34;45;6;0,881196308;0,5;0,438750019
5585;72,34;31;4;1,242162348;0,5;0,357771701
5640;72,34;31;4;1,148109773;0,5;0,342323387
5795;72,34;46;4;0,972141194;0,5;0,421392858
6011;72,34;46;4;0,855374108;0,5;0,406900493
6703;72,34;43;4;0,922893777;0,5;0,398224167
176;72,32;50;6;1,208692766;0,91314211;0,413554223
195;72,32;50;6;1,171692751;0,685418518;0,398113191
196;72,32;50;6;1,172663027;0,685621609;0,398088689
205;72,32;50;6;1,293216501;0,821078505;0,391171318
371;72,32;50;6;1,286089657;0,650346102;0,382744528
382;72,32;50;6;1,35243711;0,68741492;0,361994651
386;72,32;50;6;1,289540534;0,669115222;0,38560129
419;72,32;50;6;1,270549425;0,711304335;0,358940284
428;72,32;50;6;1,27208516;0,673746989;0,38200636
432;72,32;50;6;1,167009881;0,724481606;0,379633038
440;72,32;50;6;1,203054483;0,628323468;0,384206136
552;72,32;50;6;0,991594495;0,5;0,400683272
553;72,32;50;6;0,991350225;0,5;0,400632612
555;72,32;50;6;1,082601138;0,5;0,392161781
782;72,32;50;6;1,129416372;0,656851351;0,397910053
