tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,450822072;1,111133047;1,661089023;6;37;52,90999985
0,443898337;1,256802088;1,642135649;6;38;52,90999985
0,443241158;1,221452435;1,609692934;7;38;52,90999985
0,447427057;1,168802448;1,559055933;7;38;52,90999985
0,417840879;1,252058897;1,576892227;6;38;52,90999985
0,435359437;1,255079342;2;8;38;52,90999985
0,444869385;1,056996104;1,132304806;6;38;52,90999985
0,45574507;1,009522258;2;6;30;52,90999985
0,428218213;0,998173934;1,613838856;6;29;52,90999985
0,425357033;1,042679738;1,267425515;6;29;52,90999985
0,436850109;1,154084153;2;6;40;52,90999985
0,446590063;1,211925862;1,69246149;6;40;52,90999985
0,446557679;1,21166588;1,692536636;6;40;52,90999985
0,446273159;1,035370463;1,496616614;8;41;52,90999985
0,449927162;1,20705906;1,672536824;7;40;52,90999985
0,468259557;1,124668506;2;8;36;52,90999985
0,435125786;0,999328146;1,233560796;6;29;52,90999985
0,432973735;1,458112799;2;6;38;52,89999771
0,431431636;1,479941059;2;6;38;52,89999771
0,452208085;1,137398598;1,633262074;5;42;52,89999771
0,438775471;1,052557551;1,424411066;4;33;52,89999771
0,444229897;1,136899761;1,658449877;6;42;52,89999771
0,419639285;1,174378761;2;8;30;52,89999771
0,412248389;1,104919281;1,541234375;8;28;52,89999771
0,448693972;1,14095896;1,323194777;6;38;52,89999771
0,447983669;1,173222249;1,599553363;7;38;52,89999771
0,422495973;1,056875339;1,514359621;4;36;52,89999771
0,446924839;1,163911207;1,633352058;4;39;52,89999771
0,437282909;1,172396437;2;6;40;52,89999771
0,446594763;1,061969327;1,548222552;8;29;52,89999771
0,432272589;1,180641656;2;6;40;52,89999771
0,445067064;1,219075047;1,564842405;4;39;52,89999771
0,429631757;1,148084929;1,614971066;6;40;52,89999771
0,412352884;1,204967327;1,551321127;5;38;52,89999771
0,452745531;1,016731432;1,143904125;8;29;52,89999771
0,43265349;0,971071575;1,18670314;6;27;52,89999771
0,441222752;1,0627485;1,478208876;5;41;52,89999771
0,448114192;1,022304771;1,333115741;5;42;52,89999771
0,437980456;1,217664917;2;8;36;52,89999771
0,397571522;1,015515759;1,6040793;6;27;52,89999771
0,454161604;1,291827291;1,519039444;4;36;52,88999557
0,453596281;1,14231628;1,656112518;7;42;52,88999557
0,453548735;1,141482139;1,654967696;7;42;52,88999557
0,463006792;1,096641654;1,626939177;6;42;52,88999557
0,459219336;1,151907496;1,648635057;6;37;52,88999557
0,459667219;1,153519379;1,648433245;6;37;52,88999557
0,460024644;1,182100007;1,65091437;6;38;52,88999557
0,472458228;1,072338333;1,610021237;6;42;52,88999557
0,412331221;1,105309723;1,542404674;8;28;52,88999557
0,44961115;1,135692657;1,32018542;6;38;52,88999557
0,409717952;1,015332341;1,588863775;6;30;52,88999557
0,451587624;0,953576812;1,545015374;6;30;52,88999557
0,411445282;1,005698263;1,493712416;4;36;52,88999557
0,446761703;1,126637814;2;4;41;52,88999557
0,438404228;1,151037692;1,674493423;6;40;52,88999557
0,429415529;1,325925365;1,343543187;6;38;52,88999557
0,440734996;1,22189262;1,665682559;6;40;52,88999557
0,439329418;1,205657843;1,670678773;6;40;52,88999557
0,439137428;1,085623144;2;6;27;52,88999557
0,438894998;1,086313328;2;6;27;52,88999557
0,445407257;1,311565937;1,65207457;6;40;52,88999557
0,44421252;1,013061251;1,484710466;5;42;52,88999557
0,444893848;1,117668713;1,673448884;6;40;52,88999557
0,447184619;1,112363044;1,626518335;7;40;52,88999557
0,444756259;1,17262668;1,690663;6;40;52,88999557
0,445498901;1,110411612;1,668250454;6;40;52,88999557
0,452339254;1,213584272;1,666241578;7;40;52,88999557
0,441691638;1,20109953;1,626383259;6;41;52,88000107
0,423993523;1,439562179;1,652270595;6;40;52,88000107
0,424164716;1,441881089;1,65085316;6;40;52,88000107
0,444653293;1,263567056;1,692303945;7;42;52,88000107
0,445126445;1,243869034;1,674225927;7;42;52,88000107
0,453725119;1,146943504;1,660740419;7;42;52,88000107
0,432326848;1,064650033;1,671016296;7;28;52,88000107
0,438900217;1,110665847;2;6;32;52,88000107
0,450202991;1,163097883;1,638106451;5;41;52,88000107
0,459063807;1,066233239;1,610847777;6;42;52,88000107
0,450806559;1,081095201;1,637625199;6;40;52,88000107
0,396746331;1,131281602;2;6;30;52,88000107
0,448277309;1,155056031;1,580367417;7;38;52,88000107
0,411122087;1,079676204;1,489925728;10;25;52,88000107
0,429198196;1,196573547;1,565351471;8;38;52,88000107
0,45096309;1,335662107;2;6;37;52,88000107
0,429601924;1,14433305;2;6;31;52,88000107
0,445310845;1,059198091;1,548412148;8;29;52,88000107
0,436293844;1,135393392;1,325723206;6;40;52,88000107
0,436380806;1,133998837;1,327884181;6;40;52,88000107
0,464194685;1,103205022;1,621520029;8;38;52,88000107
0,428306814;1,18660164;2;9;50;52,88000107
0,44596099;1,055869201;1,62165762;6;28;52,88000107
0,433955939;1,151054393;2;9;50;52,88000107
0,440177698;1,006522814;1,619873055;5;29;52,88000107
0,439773714;1,097690846;1,624265603;6;27;52,88000107
0,426639762;1,076829864;2;6;29;52,88000107
0,441835262;1,341810097;2;6;40;52,88000107
0,459605016;1,115494401;1,582834141;8;36;52,88000107
0,435293184;1,270616372;1,651461784;7;40;52,88000107
