weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.67610546875,6.0546875,5.6640625,15,2,54.42000198364258
uniform,0.92585546875,3.5546875,3.1640625,10,7,53.6099967956543
distance,0.42635546875,8.5546875,8.1640625,20,17,54.03000259399414
uniform,0.30148046875,4.8046875,6.9140625,18,20,57.13999938964844
uniform,0.80098046875,9.8046875,1.9140625,8,10,52.380001068115234
distance,0.55123046875,2.3046875,9.4140625,13,5,57.88999938964844
distance,0.05173046875,7.3046875,4.4140625,3,15,49.72999954223633
distance,0.03612109375,4.6484375,1.7578125,9,8,41.470001220703125
uniform,0.53562109375,9.6484375,6.7578125,19,18,53.369998931884766
uniform,0.78537109375,2.1484375,4.2578125,4,13,58.459999084472656
uniform,0.28587109375,7.1484375,9.2578125,14,3,55.900001525878906
distance,0.41074609375,0.8984375,5.5078125,11,1,57.87999725341797
uniform,0.91024609375,5.8984375,0.5078125,1,11,54.53999710083008
distance,0.66049609375,3.3984375,8.0078125,16,16,56.86000061035156
uniform,0.16099609375,8.3984375,3.0078125,6,6,53.52999496459961
distance,0.22343359375,1.5234375,8.6328125,3,20,55.959999084472656
distance,0.72293359375,6.5234375,3.6328125,13,10,51.720001220703125
uniform,0.97268359375,4.0234375,6.1328125,8,5,53.63999557495117
distance,0.47318359375,9.0234375,1.1328125,18,15,50.519996643066406
uniform,0.34830859375,2.7734375,4.8828125,20,12,58.59000015258789
uniform,0.84780859375,7.7734375,9.8828125,10,2,54.03000259399414
distance,0.59805859375,0.2734375,2.3828125,15,7,48.56999969482422
uniform,0.09855859375,5.2734375,7.3828125,5,17,56.91999816894531
distance,0.06733984375,0.5859375,3.3203125,16,4,40.97999954223633
distance,0.56683984375,5.5859375,8.3203125,6,14,58.05999755859375
uniform,0.81658984375,3.0859375,0.8203125,11,19,55.459999084472656
distance,0.31708984375,8.0859375,5.8203125,1,9,57.44999694824219
distance,0.44196484375,4.3359375,9.5703125,3,7,59.1099967956543
distance,0.94146484375,9.3359375,4.5703125,13,17,50.779998779296875
uniform,0.69171484375,1.8359375,7.0703125,8,12,57.93000030517578
distance,0.19221484375,6.8359375,2.0703125,18,2,52.739994049072266
distance,0.12977734375,3.7109375,6.4453125,14,15,58.48999786376953
uniform,0.62927734375,8.7109375,1.4453125,4,5,53.6099967956543
distance,0.87902734375,1.2109375,8.9453125,19,10,24.03999900817871
distance,0.37952734375,6.2109375,3.9453125,9,20,56.5
