weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.5481572209900145,2.9184159280116067,10.0,20,20,49.46999740600586
distance,0.4273690115226551,9.308254408538843,10.0,1,20,48.47999954223633
distance,0.4425645649172841,2.9289935074934,0.0,20,1,46.779998779296875
distance,0.6871452953758901,4.599084216542107,10.0,20,1,48.33000183105469
uniform,0.5591186410011623,3.9013685084159744,10.0,20,1,49.64999771118164
distance,1.0,8.599531158716026,0.0,20,20,42.81999588012695
distance,0.4941923591999482,3.9815260359441575,10.0,1,1,49.87999725341797
distance,0.5584725774391673,3.4217883987729394,10.0,20,6,46.679996490478516
uniform,0.358924499685513,3.3808425644167133,10.0,20,1,49.839996337890625
distance,0.47694520614110303,2.9445680561988574,6.271158514828863,1,20,50.58000183105469
uniform,0.45137638145563563,4.411687749411345,10.0,20,1,49.91999816894531
distance,0.5849048017305958,2.77660719678624,0.0,1,20,48.999996185302734
distance,0.6527595036714157,7.530934515217927,10.0,1,20,47.46999740600586
uniform,0.7376726754866283,7.077082487986029,10.0,20,1,47.05999755859375
uniform,0.4992548929505959,3.0459517792646174,10.0,1,20,49.56999969482422
uniform,0.47923266973087214,4.021246461127434,10.0,1,1,49.929996490478516
distance,0.3494480001149916,3.2762148279457826,10.0,5,1,49.939998626708984
distance,0.4502957723607232,4.6526108205294445,10.0,1,1,49.80999755859375
distance,0.37249364765859855,3.83331645993968,5.668741015039719,1,1,50.62000274658203
distance,0.3171367154698566,3.722736851874078,10.0,20,1,49.32999801635742
uniform,0.7676430927806362,7.326383768715019,0.0,1,1,45.54999923706055
uniform,1.0,4.232510291782627,0.0,20,20,43.66999816894531
distance,0.4070490757479714,7.9494124033923965,10.0,1,1,47.9900016784668
distance,0.4462665388837414,3.200706298257372,5.103650232763482,1,20,50.62000274658203
distance,0.42924686667607953,3.0166791475827095,7.043624909781863,14,20,50.279998779296875
distance,0.5762736391909539,5.359776245865243,10.0,20,1,48.56999969482422
distance,0.3939744632102566,3.4980037293937807,5.697403389224841,1,1,50.900001525878906
uniform,0.43149180154385575,3.7492968495104706,5.3346135688208705,13,1,50.709999084472656
uniform,0.5638720754393183,4.51551405904691,3.972266266245377,20,1,49.57999801635742
distance,1.0,1.7000325147295552,10.0,20,20,43.599998474121094
uniform,0.5134135776965387,8.220296854582692,10.0,1,20,48.279998779296875
uniform,0.7270584061483475,10.0,0.0,1,20,47.12999725341797
uniform,0.533644170193588,6.88296740637806,10.0,1,1,48.2599983215332
distance,0.5294989298187317,5.079394765032382,0.0,1,1,45.7599983215332
distance,0.3735535894983712,3.4231211435646203,6.103082661544482,12,1,50.88999938964844
uniform,0.8641531839187123,2.079665144567127,2.7890437392417593,20,1,47.65999984741211
uniform,0.4297312827937394,8.657779702721763,0.0,1,20,47.279998779296875
uniform,0.43249507170514323,3.5646931016019536,5.681181496455219,1,1,50.80000305175781
uniform,0.41179588568095904,10.0,10.0,1,20,48.369998931884766
distance,0.41895052470941163,3.599446070879697,6.041150852973519,1,1,50.76000213623047
distance,0.5662994413538482,6.687743244738337,10.0,20,20,47.70000076293945
uniform,0.6297321706800063,2.7382508229136726,5.645308251312548,1,20,49.65999984741211
distance,0.3549344901904881,8.431738776262467,10.0,20,20,46.189998626708984
uniform,0.8378004936687056,4.049419844718026,10.0,1,1,47.05999755859375
distance,0.3649971121019486,3.297112692173761,6.931954236895887,20,1,50.81999969482422
uniform,0.3840488661137901,3.7240651830359655,4.011892905265998,1,1,50.54999542236328
uniform,0.7094412205359173,6.477843822263678,0.0,20,20,44.5
uniform,0.4151415680617307,3.4639136264272525,5.913637818123073,20,1,50.91999816894531
uniform,0.4065093888991195,3.503733784070702,6.056812708333111,12,1,50.87999725341797
uniform,0.4125636901688669,3.572345188587529,6.589399652669009,20,1,50.849998474121094
uniform,0.5477157896428447,3.2409498189034904,5.096481757578459,1,20,50.12999725341797
uniform,0.4343036378563934,3.4284135539663225,6.738907914025148,20,1,50.849998474121094
distance,0.4833397057678879,6.3113892352259064,10.0,1,1,48.66999816894531
distance,0.5406502246904841,6.9943257068380795,10.0,20,1,48.22999954223633
uniform,0.8017275311231646,8.596962904703807,10.0,1,20,46.5099983215332
uniform,1.0,1.8829169825894252,10.0,1,1,43.369998931884766
uniform,0.7530971124306525,2.152298925684035,0.0,20,20,47.0
distance,0.44097085815684633,7.286156121980754,10.0,1,20,48.69999694824219
distance,0.3398392817587083,3.4985457349689044,4.869043044987169,1,1,50.69999694824219
uniform,0.9999999999999999,8.975249002219572,0.0,1,1,44.41999816894531
distance,0.5467561925473254,4.64401540918023,10.0,1,20,49.1099967956543
