weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
distance,3.6661829693128483,1,3,86.44999694824219
uniform,7.062996246523836,5,1,86.81999969482422
distance,8.98317927844302,20,1,86.75
uniform,8.10775479315269,12,1,86.75
uniform,5.464552483069637,2,1,86.81999969482422
uniform,7.3925865555629455,1,20,86.37999725341797
distance,9.35097008425977,13,1,86.73999786376953
distance,7.610498302777387,6,1,86.7699966430664
distance,6.360730485149386,1,1,86.80999755859375
uniform,4.624307556848285,3,7,86.56999969482422
distance,2.7004496127428093,20,1,86.66999816894531
uniform,6.804985125244646,1,1,86.82999420166016
distance,6.524912055987672,1,20,86.3699951171875
distance,4.618600633848724,1,20,86.50999450683594
uniform,5.312342106652336,1,1,86.7699966430664
distance,2.6488016996267136,11,1,86.68999481201172
uniform,9.132314857778052,20,1,86.75
uniform,9.714192203747407,20,11,85.60999298095703
distance,2.674150983319607,13,8,85.95999908447266
distance,7.793716979022852,1,13,86.58999633789062
distance,3.0559768412266393,1,12,86.41999816894531
distance,4.179116638735518,20,18,86.38999938964844
uniform,0.0,1,20,77.68000030517578
distance,3.224544606408022,11,20,86.50999450683594
uniform,2.745639516187997,1,1,86.68999481201172
distance,3.3963502871836795,20,1,86.75999450683594
uniform,6.902912406039051,1,8,86.7699966430664
uniform,5.155908813217681,14,20,86.52999877929688
distance,9.384114320432257,1,1,86.73999786376953
uniform,8.482021690237122,1,9,86.82999420166016
distance,8.401456324070674,1,7,86.65999603271484
uniform,8.73214523268017,1,15,86.52999877929688
uniform,3.14337206272718,20,1,86.70999908447266
uniform,2.7607165482456852,6,17,86.63999938964844
uniform,7.8514478366171145,1,9,86.85999298095703
distance,2.816543523636697,1,1,86.65999603271484
uniform,6.693983394956341,20,20,86.32999420166016
uniform,7.939049906544573,7,11,86.52999877929688
uniform,10.0,1,7,86.63999938964844
uniform,7.6866854817454,1,6,86.85999298095703
uniform,7.983086615530871,20,1,86.73999786376953
uniform,8.062390927697816,1,7,86.6199951171875
uniform,7.2585181202455225,1,5,86.7699966430664
uniform,3.2725721216643393,9,1,86.72999572753906
uniform,5.628226706386479,1,20,86.47999572753906
uniform,5.713779926568963,1,7,86.6199951171875
uniform,7.381057456142256,1,10,86.80999755859375
uniform,9.14672514841536,1,6,86.80999755859375
distance,5.795802070437551,1,1,86.81999969482422
distance,4.490515777723619,6,15,86.57999420166016
distance,7.178243617845938,1,7,86.6199951171875
uniform,7.132784931513715,1,1,86.80999755859375
distance,8.12933964327678,20,1,86.75
distance,4.623451874388209,8,1,86.82999420166016
distance,5.614917617423661,20,20,86.30999755859375
distance,5.048612830446089,7,1,86.75999450683594
uniform,6.85100821748934,1,13,86.55999755859375
distance,10.0,1,1,86.73999786376953
uniform,4.633084244150102,5,1,86.82999420166016
uniform,8.998005303983698,1,9,86.73999786376953
distance,4.351049640760379,6,1,86.80999755859375
uniform,6.570460552353362,1,1,86.82999420166016
uniform,7.572431818143336,1,9,86.83999633789062
