weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,6.715559275409654,1.207724700137721,9,17,86.64999389648438
distance,5.956769880209977,9.730535175929516,5,20,86.7199935913086
distance,3.7239977793313823,6.705691518215711,11,8,86.30999755859375
distance,6.323785657712361,5.982157429198758,8,1,86.80999755859375
distance,5.814000301925555,5.363336375225069,8,2,86.4699935913086
distance,4.391192057533741,7.278255300949823,7,4,86.07999420166016
distance,7.34479802476632,5.655173493290068,10,1,86.75999450683594
distance,5.209834897443957,4.961886668764311,6,1,86.78999328613281
distance,9.49887859860619,5.944429862232503,1,2,86.4699935913086
distance,6.213129173586145,6.437537154449843,4,11,86.77999877929688
distance,4.970854900452142,3.0061755167849604,9,6,86.38999938964844
distance,4.105547396078668,8.494281030099886,3,12,86.54999542236328
uniform,5.718530808209344,8.983810025572602,7,4,86.05999755859375
distance,6.835393844615818,9.208941595861775,8,1,86.82999420166016
distance,7.32848080927585,8.353634174643375,8,2,86.27999877929688
distance,6.2323013314704365,9.418817473879534,6,1,86.80999755859375
distance,6.780051570198038,7.603719258088224,9,1,86.75
distance,7.944481805069545,9.6420510303937,11,2,86.42999267578125
distance,7.063457776438507,6.96281112982912,7,3,86.1399917602539
distance,4.738822361987614,8.972168259064635,10,3,86.48999786376953
distance,2.727399416067866,7.899681157438313,12,5,85.65999603271484
distance,5.498650269113416,9.170868670313123,4,10,86.75999450683594
distance,5.106023721150108,9.920575185294258,5,2,86.39999389648438
distance,6.600513048768134,8.274493418620962,8,1,86.82999420166016
distance,6.82417955976293,8.342776420357998,9,1,86.82999420166016
distance,8.219645052620821,8.226967184945899,9,7,86.52999877929688
distance,0.11372408467153505,8.362413816438309,8,3,82.2699966430664
distance,6.894155893505533,8.65546563567743,10,1,86.82999420166016
uniform,7.083708144027835,7.429156912083604,13,2,84.66999816894531
distance,6.581797923475634,9.092962232159701,6,9,86.66999816894531
distance,7.34965460803277,7.774694034000184,7,14,86.1399917602539
distance,7.6457076205426615,8.132505841295705,11,4,83.25
distance,6.152232225544707,9.547269029454805,1,1,86.82999420166016
distance,6.894400217003744,8.6818156844227,10,19,86.67999267578125
distance,6.610585227631509,8.595502544623352,10,1,86.82999420166016
distance,7.2124305899620875,8.790725110875433,8,2,86.37999725341797
distance,6.489312750005639,9.180012113309429,9,3,86.37999725341797
distance,3.4396712887447234,9.315852389091225,2,1,86.75
distance,6.848542851824103,8.041156302208849,9,2,86.39999389648438
distance,3.9917301510252234,9.812723149689408,12,8,86.3699951171875
uniform,8.753844790148797,8.340898978700102,8,1,86.70999908447266
distance,4.52048213041748,7.09880196593367,15,3,86.5199966430664
distance,8.186952509185012,7.493869077929668,9,16,86.38999938964844
distance,6.29026659988363,9.622033844224065,1,1,86.81999969482422
distance,6.136119846401014,9.543237106789052,2,1,86.82999420166016
distance,6.09757471866019,8.983498449409819,1,2,86.55999755859375
distance,5.834328802998106,8.643601548668444,3,1,86.82999420166016
distance,5.644768612556274,9.33831214434658,3,2,86.29999542236328
distance,6.721802308644174,7.889078628112269,7,1,86.85999298095703
distance,7.541740626697959,7.910443086230796,7,3,84.8699951171875
distance,7.786960159104598,6.619329918631621,6,1,86.73999786376953
distance,6.761426720421903,7.754190121870525,7,2,86.30999755859375
distance,6.450688328243147,8.862731978155319,8,9,86.60999298095703
distance,7.2204388913505415,8.188556595843696,9,1,86.5999984741211
