weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
distance,5.99609375,11,7,86.24999237060547
uniform,8.49609375,6,12,86.5199966430664
distance,3.49609375,16,2,86.5199966430664
uniform,4.74609375,9,10,86.53999328613281
uniform,9.74609375,19,20,86.17999267578125
distance,7.24609375,4,5,86.54999542236328
uniform,2.24609375,14,15,86.27999877929688
distance,1.62109375,7,3,85.55999755859375
uniform,6.62109375,17,13,86.2199935913086
uniform,9.12109375,2,8,86.65999603271484
uniform,4.12109375,12,18,86.5199966430664
distance,2.87109375,5,11,86.56999969482422
distance,7.87109375,15,1,86.75
distance,5.37109375,10,16,86.60999298095703
uniform,0.37109375,20,6,83.91000366210938
uniform,0.52734375,5,2,84.63999938964844
distance,5.52734375,15,12,86.37999725341797
distance,8.02734375,10,7,86.50999450683594
distance,3.02734375,20,17,86.29999542236328
uniform,4.27734375,8,15,86.7199935913086
uniform,9.27734375,18,5,86.19999694824219
distance,6.77734375,3,20,86.5999984741211
distance,1.77734375,13,10,85.77999877929688
distance,2.40234375,9,19,86.5199966430664
uniform,7.40234375,19,9,85.00999450683594
distance,9.90234375,4,14,86.48999786376953
distance,4.90234375,14,4,86.1399917602539
distance,3.65234375,1,6,86.77999877929688
distance,8.65234375,11,16,86.31999206542969
uniform,6.15234375,6,1,86.82999420166016
uniform,1.15234375,16,11,85.08999633789062
distance,0.83984375,6,8,85.64999389648438
distance,5.83984375,16,18,86.50999450683594
distance,8.33984375,1,3,86.40999603271484
distance,3.33984375,11,13,86.48999786376953
distance,4.58984375,3,16,86.78999328613281
uniform,9.58984375,13,6,85.65999603271484
uniform,7.08984375,8,11,86.44999694824219
uniform,2.08984375,18,1,86.38999938964844
distance,1.46484375,2,12,86.18999481201172
distance,6.46484375,12,2,86.4699935913086
uniform,8.96484375,7,17,86.54999542236328
distance,3.96484375,17,7,85.44999694824219
uniform,2.71484375,10,4,85.83999633789062
distance,7.71484375,20,14,86.22999572753906
distance,5.21484375,5,9,86.68999481201172
distance,0.21484375,15,19,84.02000427246094
uniform,0.29296875,2,10,84.98999786376953
distance,5.29296875,12,20,86.64999389648438
distance,7.79296875,7,5,86.17999267578125
uniform,2.79296875,17,15,86.1399917602539
distance,4.04296875,10,18,86.68999481201172
uniform,9.04296875,20,8,85.3499984741211
uniform,6.54296875,5,13,86.70999908447266
distance,1.54296875,15,3,85.81999206542969
uniform,2.16796875,6,12,86.33999633789062
distance,7.16796875,16,2,86.39999389648438
distance,9.66796875,1,17,86.49999237060547
distance,4.66796875,11,7,86.25999450683594
uniform,3.41796875,4,4,86.45999908447266
distance,8.41796875,14,14,86.35999298095703
uniform,5.91796875,9,9,86.37999725341797
uniform,0.91796875,19,19,85.22999572753906
uniform,1.23046875,8,1,85.87999725341797
distance,6.23046875,18,11,86.03999328613281
uniform,8.73046875,3,6,86.43999481201172
distance,3.73046875,13,16,86.43999481201172
uniform,4.98046875,1,14,86.57999420166016
uniform,9.98046875,11,4,86.23999786376953
uniform,7.48046875,6,19,86.67999267578125
distance,2.48046875,16,9,85.87999725341797
distance,1.85546875,4,20,86.27999877929688
uniform,6.85546875,14,10,86.30999755859375
uniform,9.35546875,9,15,86.52999877929688
uniform,4.35546875,19,5,86.32999420166016
distance,3.10546875,7,7,86.3499984741211
distance,8.10546875,17,17,86.30999755859375
uniform,5.60546875,2,2,86.58999633789062
distance,0.60546875,12,12,84.83999633789062
uniform,0.44921875,8,16,85.00999450683594
distance,5.44921875,18,6,85.44999694824219
distance,7.94921875,3,11,86.57999420166016
uniform,2.94921875,13,1,86.69999694824219
distance,4.19921875,5,9,86.73999786376953
distance,9.19921875,15,19,86.32999420166016
distance,6.69921875,10,4,86.04999542236328
uniform,1.69921875,20,14,85.78999328613281
uniform,2.32421875,2,5,86.54999542236328
uniform,7.32421875,12,15,86.33999633789062
distance,9.82421875,7,10,86.3499984741211
uniform,4.82421875,17,20,86.32999420166016
distance,3.57421875,9,13,86.56999969482422
uniform,8.57421875,19,3,86.44999694824219
distance,6.07421875,4,18,86.78999328613281
distance,1.07421875,14,8,84.93000030517578
distance,0.76171875,3,15,85.41999816894531
uniform,5.76171875,13,5,85.92999267578125
uniform,8.26171875,8,20,86.7699966430664
uniform,3.26171875,18,10,85.95999908447266
distance,4.51171875,6,2,86.5199966430664
distance,9.51171875,16,12,86.25999450683594
uniform,7.01171875,1,7,86.62999725341797
uniform,2.01171875,11,17,86.25999450683594
uniform,1.38671875,10,6,85.39999389648438
uniform,6.38671875,20,16,86.35999298095703
distance,8.88671875,5,1,86.73999786376953
distance,3.88671875,15,11,86.35999298095703
uniform,2.63671875,2,18,86.44999694824219
distance,7.63671875,12,8,86.30999755859375
uniform,5.13671875,7,13,86.53999328613281
uniform,0.13671875,17,3,84.05000305175781
distance,0.09765625,4,19,84.19000244140625
distance,5.09765625,14,9,86.38999938964844
distance,7.59765625,9,14,86.43999481201172
uniform,2.59765625,19,4,86.44999694824219
uniform,3.84765625,6,6,86.62999725341797
