shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
5.88718695779328,6.178863103274848,1,12,61.68193054199219
7.8058696930005524,7.958477107585607,1,23,60.865943908691406
10.0,4.525721243630597,1,12,61.815155029296875
4.861882169094727,10.0,50,1,61.9483757019043
6.327625602712388,0.0,1,15,61.915069580078125
8.862893952367717,3.7277543661256782,1,37,60.482933044433594
4.229702562844432,10.0,1,20,61.132389068603516
0.0,0.5287531167938866,1,50,0.4
7.686494381648586,0.0,50,20,60.13322448730469
4.183766780221579,0.0,1,6,61.248958587646484
3.5816912935916143,10.0,1,1,61.149044036865234
7.152845784341256,0.0,1,13,61.915069580078125
6.223250105867954,10.0,1,22,60.782684326171875
6.940594163297826,0.0,2,10,62.03164291381836
4.34157471808817,9.999999999999998,1,16,61.26560974121094
3.580334738836923,0.0,50,1,61.149044036865234
9.121859289746718,0.0,1,1,63.59700393676758
7.438821342899744,0.0,50,1,63.247291564941406
8.299487610182466,0.0,23,1,63.44712829589844
5.869052880018831,10.0,1,9,61.99833679199219
7.161979197245901,6.529359710696059,1,8,62.09825134277344
3.384468149941497,0.0,1,32,60.03330993652344
9.354426228160408,0.0,50,1,63.630313873291016
4.76700709209844,0.0,1,24,60.69942092895508
10.0,10.0,50,18,60.29975509643555
10.0,0.0,20,11,62.09825134277344
8.822825224293725,0.0,1,7,62.61448669433594
8.327640372126687,0.0,1,29,60.64945983886719
10.0,0.0,1,18,61.931724548339844
3.913554825960089,0.0,1,20,61.04912567138672
10.0,4.573896981611719,47,1,63.680267333984375
9.639107393314886,0.0,1,1,63.6469612121582
9.324920350442873,0.0,26,1,63.59700393676758
3.0617721581383,0.0,1,11,60.23313903808594
2.965623239372932,0.0,1,1,60.099918365478516
8.37997968726913,9.999999999999998,50,28,59.08409881591797
5.700443486183447,0.0,1,3,62.497920989990234
7.2477940341116875,0.0,41,16,60.416324615478516
7.790287338257684,0.0,18,20,62.231475830078125
8.243595619845724,2.5707027479688582,1,19,61.798500061035156
10.0,2.4156984603471905,1,1,63.696922302246094
7.229589080081703,4.951178605861358,1,19,61.665279388427734
4.3364142239851535,10.0,1,4,61.88176727294922
10.0,7.5902054893005735,50,1,63.696922302246094
4.23563980812448,10.0,1,26,60.449623107910156
10.0,7.074426282797686,1,1,63.696922302246094
10.0,1.7719657936413622,50,1,63.696922302246094
