tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
0.4502582785979188,1.1514795313238961,1.464443624033577,9,29,52.52000045776367
0.4325707593506072,1.2155428394696866,1.501304623237682,7,35,52.72999954223633
0.4633245401338836,0.5,0.5,33,50,50.81999969482422
0.42439711527916063,1.144441189533436,1.3638896960487674,7,35,52.560001373291016
0.45094178844026833,2.0,2.0,1,20,51.269996643066406
0.4315032101457825,1.0949779013932592,1.9999999999999998,30,50,51.80999755859375
0.489366654204899,1.3899002591750569,2.0,10,20,52.249996185302734
0.45605005070458227,1.3051150514167353,1.7065506927931335,8,34,52.52999496459961
0.433653503870603,1.0422523207189518,1.4208197859080753,7,20,52.31999588012695
0.4067809916726912,1.0622961980397474,1.2888554811649566,22,50,52.05999755859375
0.3,2.0,2.0,28,50,50.339996337890625
0.38724031664859,2.0,1.9999999999999998,11,50,51.97999954223633
0.4152711655711381,0.9682511112095253,1.2468723331040272,8,36,52.79999923706055
0.4167394917111827,0.9626718144577601,1.244801921828195,8,36,52.77999496459961
0.43583148858399157,0.9274452704000892,1.2933542624009247,9,34,52.630001068115234
0.4092901887733707,1.0227746590832512,1.2487850008935002,8,39,52.77000045776367
0.4086380606970521,0.9804611781582543,1.1771491313933147,8,40,52.47999954223633
0.4151753134194718,1.111460861652471,1.4754056297956,10,34,52.64999771118164
0.43446668299849844,1.0851944367433561,1.5875594837271603,7,35,52.71999740600586
0.48954043051930074,1.1150855086641982,0.5,28,20,49.79999923706055
0.44599903973332256,0.9738714466950903,1.3368813335686585,8,34,52.630001068115234
0.38667181437234666,1.0827069034347927,2.0,5,20,52.029998779296875
0.4274854723316371,1.116636851062776,1.6033596649303437,7,35,52.70000076293945
0.6,0.9227797772823749,2.0,29,50,50.849998474121094
0.4574810903478814,1.1769603540660067,2.0,6,31,52.72999954223633
0.44867659752639544,1.0828896886338497,1.693195327897911,7,33,52.689998626708984
0.4469114220958403,1.2310164661638694,2.0,7,32,52.59999465942383
0.6,0.5,0.5,50,50,48.999996185302734
0.42587856337348157,1.094969719357621,1.597649313172045,7,36,52.66999435424805
0.48137031205313274,1.1586690729836997,2.0,6,27,52.630001068115234
0.45323612146457354,1.0126495797353234,1.5582099576489585,7,32,52.70999526977539
0.4801635720816426,1.1641899206825064,2.0,3,20,51.96999740600586
0.4455689515609573,0.9859390690860146,1.540813701283015,8,34,52.749996185302734
0.43132164889643637,0.9202710598320111,1.3835340862840244,7,32,52.70000076293945
0.4911705988039118,1.0883323533046008,1.0964122649781236,25,50,51.519996643066406
