weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.209775390625,8.88671875,0.05859375,7,11,43.689998626708984
uniform,0.147337890625,0.76171875,5.68359375,3,5,25.18000030517578
uniform,0.646837890625,5.76171875,0.68359375,13,15,45.769996643066406
uniform,0.896587890625,3.26171875,8.18359375,8,20,47.279998779296875
distance,0.397087890625,8.26171875,3.18359375,18,10,45.060001373291016
uniform,0.272212890625,4.51171875,1.93359375,20,8,44.93000030517578
distance,0.771712890625,9.51171875,6.93359375,10,18,46.709999084472656
uniform,0.521962890625,2.01171875,4.43359375,15,13,50.470001220703125
distance,0.022462890625000002,7.01171875,9.43359375,5,3,30.440000534057617
distance,0.030267578125,0.99609375,4.98046875,13,8,17.600000381469727
distance,0.529767578125,5.99609375,9.98046875,3,18,49.41999816894531
distance,0.779517578125,3.49609375,2.48046875,18,13,46.779998779296875
uniform,0.280017578125,8.49609375,7.48046875,8,3,44.41999816894531
uniform,0.404892578125,4.74609375,8.73046875,10,1,49.81999969482422
uniform,0.904392578125,9.74609375,3.73046875,20,11,43.84000015258789
uniform,0.654642578125,2.24609375,6.23046875,5,16,49.66999816894531
distance,0.155142578125,7.24609375,1.23046875,15,6,39.999996185302734
distance,0.217580078125,2.87109375,5.60546875,19,19,47.82999801635742
distance,0.717080078125,7.87109375,0.60546875,9,9,45.459999084472656
uniform,0.966830078125,0.37109375,8.10546875,14,4,3.309999704360962
uniform,0.467330078125,5.37109375,3.10546875,4,14,49.279998779296875
uniform,0.342455078125,1.62109375,1.85546875,2,12,51.66999816894531
uniform,0.841955078125,6.62109375,6.85546875,12,2,45.72999954223633
distance,0.592205078125,4.12109375,4.35546875,7,7,48.999996185302734
uniform,0.092705078125,9.12109375,9.35546875,17,17,39.849998474121094
uniform,0.123923828125,3.80859375,0.29296875,5,4,41.93000030517578
distance,0.623423828125,8.80859375,5.29296875,15,14,46.66999816894531
uniform,0.873173828125,1.30859375,2.79296875,10,19,47.369998931884766
uniform,0.373673828125,6.30859375,7.79296875,20,9,45.98999786376953
distance,0.498548828125,0.05859375,6.54296875,17,6,0.7699999809265137
distance,0.998048828125,5.05859375,1.54296875,7,16,45.13999938964844
uniform,0.748298828125,2.55859375,9.04296875,12,11,48.029998779296875
uniform,0.248798828125,7.55859375,4.04296875,2,1,44.79999923706055
distance,0.186361328125,1.93359375,9.66796875,6,15,36.0
distance,0.685861328125,6.93359375,4.66796875,16,5,45.31999969482422
uniform,0.935611328125,4.43359375,7.16796875,1,10,45.40999984741211
distance,0.436111328125,9.43359375,2.16796875,11,20,46.589996337890625
distance,0.311236328125,3.18359375,3.41796875,13,17,49.679996490478516
uniform,0.810736328125,8.18359375,8.41796875,3,7,46.689998626708984
uniform,0.560986328125,0.68359375,0.91796875,18,2,50.909996032714844
uniform,0.061486328125,5.68359375,5.91796875,8,12,38.23999786376953
uniform,0.045876953125,3.65234375,7.94921875,2,6,30.81999969482422
distance,0.545376953125,8.65234375,2.94921875,12,16,47.0
uniform,0.795126953125,1.15234375,5.44921875,7,11,46.53999710083008
distance,0.295626953125,6.15234375,0.44921875,17,1,44.709999084472656
distance,0.420501953125,2.40234375,4.19921875,19,3,49.22999572753906
uniform,0.920001953125,7.40234375,9.19921875,9,13,45.69999694824219
distance,0.670251953125,4.90234375,1.69921875,14,18,47.15999984741211
uniform,0.170751953125,9.90234375,6.69921875,4,8,43.29999923706055
uniform,0.233189453125,0.52734375,2.32421875,8,17,45.62999725341797
distance,0.732689453125,5.52734375,7.32421875,18,7,45.769996643066406
distance,0.982439453125,3.02734375,4.82421875,3,2,45.08000183105469
uniform,0.482939453125,8.02734375,9.82421875,13,12,47.459999084472656
uniform,0.358064453125,4.27734375,6.07421875,11,15,48.88999938964844
uniform,0.857564453125,9.27734375,1.07421875,1,5,45.72999954223633
uniform,0.607814453125,1.77734375,8.57421875,16,10,48.55999755859375
uniform,0.108314453125,6.77734375,3.57421875,6,20,41.36000061035156
distance,0.077095703125,1.46484375,7.01171875,15,2,24.020000457763672
distance,0.576595703125,6.46484375,2.01171875,5,12,48.439998626708984
uniform,0.826345703125,3.96484375,9.51171875,20,17,46.31999969482422
distance,0.326845703125,8.96484375,4.51171875,10,7,45.040000915527344
uniform,0.451720703125,2.71484375,0.76171875,7,9,49.38999938964844
uniform,0.951220703125,7.71484375,5.76171875,17,19,44.720001220703125
distance,0.701470703125,0.21484375,3.26171875,2,14,34.09000015258789
uniform,0.201970703125,5.21484375,8.26171875,12,4,44.20000076293945
distance,0.139533203125,4.58984375,2.63671875,16,13,43.71999740600586
uniform,0.639033203125,9.58984375,7.63671875,6,3,45.88999938964844
distance,0.888783203125,2.08984375,0.13671875,11,8,46.1099967956543
distance,0.389283203125,7.08984375,5.13671875,1,18,48.779998779296875
