weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.3719982341036689,5.511143392618381,0.0,1,1,50.61000061035156
distance,0.5741058992510659,8.800584312960083,0.0,1,20,55.93999481201172
uniform,0.4685015912682253,3.82635231322077,10.0,1,20,59.499996185302734
distance,0.8723917321102936,1.6604527617839708,2.6938718807930355,20,20,57.69999694824219
distance,0.5293012696243418,3.3683439273968534,8.017514332654072,10,1,59.79999923706055
distance,0.8688904830125271,1.3906452326864784,2.851196647610616,1,20,54.09000015258789
distance,0.8598115244812882,1.8502615446095079,3.1612651975310047,13,1,59.1099967956543
distance,0.6927242370010137,3.0383372362060506,5.848318453801074,9,15,58.06999969482422
uniform,0.3950129675161582,4.975168411594962,6.612659176888178,1,20,59.749996185302734
uniform,0.8618749812336276,1.5932329191694516,2.2923074918075996,12,5,57.5
uniform,0.6748626708877596,8.062497144785377,7.969562812760288,1,20,56.88999938964844
distance,0.36352237237825985,4.287700371507382,10.0,1,20,59.89999771118164
uniform,0.49861947001866547,10.0,10.0,1,1,56.22999572753906
uniform,0.6300685360773796,4.676950679806503,10.0,17,1,58.16999816894531
distance,0.5654905746947765,10.0,5.963898915398005,1,20,57.23999786376953
uniform,0.39957869808824126,4.72935030499734,10.0,11,20,58.21999740600586
uniform,1.0,6.035623812891978,2.727551191597568,1,1,54.31999969482422
uniform,1.0,8.16817575033501,0.0,20,20,48.540000915527344
distance,0.3941791440263817,4.293781424144465,4.923624909639992,1,20,60.13999557495117
uniform,0.5888701080913347,10.0,4.5502505716571955,1,1,55.099998474121094
uniform,0.4998702352545139,10.0,10.0,20,20,54.02000045776367
uniform,0.3826732009882642,4.0523254624330285,6.8708184521544915,1,20,60.21999740600586
distance,1.0,7.62697267899573,6.81778796185886,1,20,54.380001068115234
distance,0.511712922260563,8.316264869923438,10.0,1,20,58.04999923706055
uniform,0.4873495570218235,5.964579580905184,10.0,1,20,58.989994049072266
distance,1.0,1.198640866213361,0.0,18,19,56.519996643066406
distance,0.36685802371988274,4.007407732240548,7.543201856444746,1,20,60.28999710083008
uniform,1.0,4.895376579211906,8.325076804034397,20,1,55.75999450683594
uniform,0.48627517605331905,7.033961761091082,6.258486817241586,1,20,58.29999923706055
uniform,0.5491865646037829,3.374480969913056,10.0,8,1,59.67000198364258
distance,0.37466212041646063,3.425344698166057,10.0,1,20,59.999996185302734
uniform,0.42624696054696,4.586837036303718,3.265517755354517,1,20,59.29999923706055
uniform,0.5152181332877029,9.005190163654747,10.0,1,20,57.87999725341797
distance,0.41404547167201367,7.326924977781921,0.0,20,20,50.23999786376953
distance,0.6698375806463478,9.243579105118778,10.0,1,1,55.46999740600586
uniform,0.4732449367193997,3.052636043524481,8.625484191996359,1,1,60.52000045776367
