weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,3.756763925753966,10.0,9,20,86.5999984741211
uniform,1.2327328170474419,10.0,20,20,85.55999755859375
uniform,3.2686274143573204,10.0,20,3,86.45999908447266
uniform,8.71925110744759,0.0,20,1,86.72999572753906
uniform,2.7343673517762204,0.0,1,6,86.72999572753906
uniform,6.55856767391474,0.0,1,9,86.98999786376953
uniform,6.5659738617326795,0.0,1,9,86.98999786376953
uniform,3.349828877650107,10.0,20,12,85.94999694824219
uniform,4.4939251246355925,10.0,10,10,86.5199966430664
uniform,6.5745658480188975,0.0,1,9,86.98999786376953
uniform,6.582292146317913,0.0,1,9,86.97999572753906
uniform,10.0,0.0,1,9,86.69999694824219
distance,6.379797702217159,10.0,1,5,86.77999877929688
distance,2.6662768083439436,10.0,1,5,86.7199935913086
uniform,1.348044145300809,0.0,20,9,83.94999694824219
distance,9.999999999999998,10.0,10,5,85.7699966430664
distance,7.755137329809191,0.0,11,19,86.56999969482422
uniform,4.0378902440320035,0.0,7,18,86.66999816894531
distance,7.190005337273605,10.0,20,12,86.10999298095703
uniform,3.093459825773614,10.0,7,5,86.22999572753906
distance,7.257851214000571,10.0,1,10,86.75999450683594
distance,8.387636897422254,0.0,1,13,86.63999938964844
uniform,4.290952365672205,10.0,1,9,86.83999633789062
uniform,5.212424430949559,10.0,8,12,86.54999542236328
distance,3.1028938693871204,10.0,14,16,86.43999481201172
uniform,7.657557812229276,0.0,1,18,86.52999877929688
uniform,7.273457935363892,10.0,20,6,85.82999420166016
uniform,7.558403060796235,10.0,8,18,86.70999908447266
uniform,4.718588990934911,9.999999999999998,1,14,86.53999328613281
uniform,4.269988110645468,0.0,8,15,86.7199935913086
distance,3.349339560340741,0.0,9,14,86.65999603271484
uniform,5.257325123357331,0.0,20,15,86.42999267578125
distance,1.883486909292125,0.0,1,12,86.30999755859375
uniform,6.66515776669545,0.0,1,9,86.9699935913086
uniform,6.468856681270841,0.0,1,9,86.98999786376953
uniform,6.475354552002365,0.0,1,9,86.98999786376953
uniform,6.481792171134094,0.0,1,9,86.98999786376953
uniform,6.487851742628907,0.0,1,9,86.97999572753906
distance,6.537946206100225,0.0,1,9,86.98999786376953
distance,5.501005904900364,10.0,8,1,86.81999969482422
distance,6.536667478093225,0.0,1,9,86.98999786376953
distance,7.530313225628783,10.0,1,15,86.58999633789062
distance,5.476664952398557,9.999999999999998,1,6,86.93000030517578
uniform,6.8485472877497235,10.0,10,13,86.4699935913086
distance,6.535883480861341,0.0,1,9,86.98999786376953
distance,6.534971240623168,0.0,1,9,86.98999786376953
uniform,6.237851059628677,0.0,1,17,86.68999481201172
